DATA,CNPJ,MARCA,MODELO,CATEGORIA,VENDAS_UNIDADES,PRECO_MEDIO,ESTOQUE_DISPONIVEL,EM_PROMOCAO
8/1/2025,55.666.777/0001-10,Samsung,Galaxy S25,Smartphone,28,7200,55,NAO
8/1/2025,55.666.777/0001-10,Samsung,Galaxy S25,Smartphone,8,1935,111,SIM
8/1/2025,55.666.777/0001-10,Apple,iPhone 16 Pro,Smartphone,17,5636,107,SIM
8/1/2025,55.666.777/0001-10,OPPO,Find X7,Smartphone,18,7322,139,NAO
8/1/2025,55.666.777/0001-10,Xiaomi,14 Ultra,Smartphone,6,4927,131,NAO
8/1/2025,55.666.777/0001-10,Motorola,Edge 50,Smartphone,10,7624,17,NAO
8/1/2025,55.666.777/0001-10,Google,Pixel 9 Pro,Smartphone,8,4204,125,SIM
8/1/2025,55.666.777/0001-10,OnePlus,13 Pro,Smartphone,12,4370,26,SIM
8/1/2025,55.666.777/0001-10,Samsung,Galaxy Tab S9,Tablet,6,3608,57,NAO
8/1/2025,55.666.777/0001-10,Apple,iPad Pro M3,Tablet,9,7200,28,NAO
8/1/2025,55.666.777/0001-10,Samsung,Galaxy Watch 7,Smartwatch,1,6214,93,NAO
8/1/2025,55.666.777/0001-10,Apple,Apple Watch X,Smartwatch,2,3096,90,NAO
8/1/2025,55.666.777/0001-10,JBL,Tune 720BT,Fone de Ouvido,11,6011,81,NAO
8/1/2025,55.666.777/0001-10,Sony,WH-1000XM6,Fone de Ouvido,16,8785,49,NAO
8/1/2025,55.666.777/0001-00,Samsung,Galaxy S25,Smartphone,9,7834,106,NAO
8/1/2025,55.666.777/0001-00,Apple,iPhone 16 Pro,Smartphone,9,3368,134,SIM
8/1/2025,55.666.777/0001-00,OPPO,Find X7,Smartphone,14,3451,92,NAO
8/1/2025,55.666.777/0001-00,Xiaomi,14 Ultra,Smartphone,6,7890,29,NAO
8/1/2025,55.666.777/0001-00,Motorola,Edge 50,Smartphone,12,6453,109,NAO
8/1/2025,55.666.777/0001-00,Google,Pixel 9 Pro,Smartphone,16,4876,21,SIM
8/1/2025,55.666.777/0001-00,OnePlus,13 Pro,Smartphone,6,5069,38,NAO
8/1/2025,55.666.777/0001-00,Samsung,Galaxy Tab S9,Tablet,13,7334,101,SIM
8/1/2025,55.666.777/0001-00,Apple,iPad Pro M3,Tablet,8,6241,66,NAO
8/1/2025,55.666.777/0001-00,Samsung,Galaxy Watch 7,Smartwatch,7,2844,67,NAO
8/1/2025,55.666.777/0001-00,Apple,Apple Watch X,Smartwatch,5,3732,47,NAO
8/1/2025,55.666.777/0001-00,JBL,Tune 720BT,Fone de Ouvido,3,8129,49,SIM
8/1/2025,55.666.777/0001-00,Sony,WH-1000XM6,Fone de Ouvido,1,7632,35,NAO
8/1/2025,55.666.777/0001-01,Samsung,Galaxy S25,Smartphone,20,2780,51,NAO
